Name,Rating,Origin,Roast Level,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Review
Ethiopia 2022 COE #3 Washed Temam 74110,95,"Jimma Zone, Oromia region, southern Ethiopia",Light,9,9,9,9,9,"A classic washed Ethiopia cup with notes of stone fruit, cocoa nib, and distinct florals — harmonious and deep."
Ethiopia Guji Shakiso Mulish Washed,93,"Odo Shakiso District, Guji Zone, southern Ethiopia",Light,9,9,8,9,8,"A multi-layered, brightly sweet washed Ethiopia cup with deep floral and high-toned berry notes."
French Roast,92,Guatemala; Mexico,Medium,9,8,8,9,8,"A deftly darker-roasted blend that’s enticingly smoky-deep, richly chocolaty and gently floral — especially nice with a splash of whole milk."
Taiwan Alishan Honey,93,"Alishan region, Taiwan",Medium-Light,9,8,9,9,8,"A multi-layered, crisply sweet-savory honey-processed Alishan cup with cocoa nib and sweet herb notes as throughlines."
Galaxy Gesha Quindio Colombia Edwin Noreña,95,"Circasia, Quindio Department, Colombia",Light,9,9,9,9,9,"A ringing giant of a coffee with vast, layered aromatics and a structure both bright and deep."
Ka‘ū JN Farms Malolactic Honey,95,"Ka‘ū growing region, Big Island of Hawai’i",Light,9,9,9,9,9,"Sweet spice and flowers star in a high-toned symphonic cup, bright, layered, cocoa-anchored"
Colombia Finca El Paraiso Rose Tea,94,"Cauca Department, Colombia",Light,9,9,9,9,8,"An original yet balanced anaerobic profile: Bright rose-like flowers are enveloped in a plushly juicy, peach-yogurt-like matrix."
Colombia Monteblanco Rodrigo Sanchez Carbonic Maceration,94,"Huila Department, Colombia",Light,9,9,9,9,8,"A light-footed and balanced anaerobic cup, floral without perfumy excess, cleanly fruit-toned and silky in texture."
Colombia Cauca Granja Paraiso 92 – Pink Bourbon,94,"Piendamo, Cauca Department, Colombia",Light,9,9,9,9,8,"A fruit-forward but balanced, tangy-rich rendition of the anaerobic style."
Ethiopia Gatta Anaerobic,94,"Sidamo growing region, southern Ethiopia",Light,9,9,8,9,9,Impressive in its delicate completeness and balance. For those interested in exploring the deeply expressive yet subtler side of the anaerobic style.
Colombia Osmanthus Bouquet Granja Paraiso 92,94,"Piendamo, Cauca Department, Colombia",Light,9,9,9,9,8,"A delightful flower bomb of a coffee, with a savory nut-like edge and an inherent balance that saves it from sentimentality."
Colombia Gesha Spirits Semi-Washed Anaerobic,93,"Huila Department, Colombia",Light,9,8,9,9,8,"Original and complex in its herb and flowers; almost disconcertingly sweet, with just an edge of yogurty tang."
Colombia Purple Fruit Anaerobic,93,"Quindio Department, Colombia",Medium-Light,9,8,9,9,8,"A candy-like sweetness is complicated by a lavish, unpredictable display of eccentric aromatic notes, from bubblegum to ginger to musk."
Colombia Jairo Arcila Peach Maceration,93,"Quindio Department, Colombia",Light,9,8,9,9,8,"A particularly sweet anaerobic, with a distinct lactic tang and a surprising, unusual range of aromatics."
Colombia Granja Paraíso-92- Papayo Kōji,95,"Piendamó, Cauca Department, Colombia",Light,9,9,9,9,9,"A uniquely composed cup from a rare variety of Arabica (Papayo), meticulously processed using complex methods by Wilton Benitez, widely recognized for his innovative processing experiments."
Costa Rica Aquiares Estate,93,"Aquíares, Cartago, Costa Rica",Light,9,8,9,9,8,An accessibly complex natural-processed Costa Rica that leads with distinct berry notes with undertones of crisp chocolate and sweet herbs.
Ethiopia Dinkalem Ademe Wush Wush,95,"Guji Zone, Oromia Region, southern Ethiopia",Light,9,9,9,9,9,"A rare single-farmer Ethiopia and a rare variety of Arabica, this natural-processed Wush Wush is super-clean, deep-toned, and richly sweet."
Panama Finca Lorayne Catuaí Anaerobic,91,"Chiriqui, Boquete growing region, western Panama",Light,8,8,8,9,8,A pretty Panama Catuaí that expresses the classic tanginess of the anaerobic natural profile with delicacy and balance.
Colombia Pink Bourbon,95,"Piendamó, Cauca Department, Colombia",Light,9,9,9,9,9,"An unabashed fruit bomb of a coffee: produced entirely from the rare Pink Bourbon variety of Arabica, and processed anaerobically, netting an intense, flavor-saturated, richly aromatic profile with ballast from bittersweet floral notes."
Kenya Kiambu Mandela Estate AA Washed Process,94,"Kiambu County, south-central Kenya",Medium-Light,9,9,9,9,8,A distinctive Kenya cup laden with classic black currant notes and undertones of spicy florals — especially vibrant acidity.
Costa Rica Volcán Azul Geisha Yeast-Washed,94,"West Valley, Costa Rica",Light,9,9,9,9,8,"An aromatically exciting washed anaerobic Costa Rica Geisha saturated with high-toned fruit, deep chocolate, and rich spice tones."
Ethiopia Yirgacheffe Adame G1 Natural,94,"Yirgacheffe growing region, south-central Ethiopia",Light,9,9,9,9,8,"A juicy, bright natural-processed Ethiopia cup — invitingly tart, balanced by sweet floral and aromatic wood notes."
Ethiopia Yirgacheffe Konga Washed Process,93,"Yirgacheffe growing region, southern Ethiopia",Light,9,9,8,9,8,"A complex, balanced washed Ethiopia cup with cocoa-toned tropical fruit and sweet herb suggestions."
Ethiopia Yirgacheffe Banko Gotiti  G1 Natural,93,"Gedeb District, Gedeo Zone, southern Ethiopia",Light,9,8,9,9,8,"A delicate, balanced natural-processed Ethiopia cup, fruit-forward and nutty with floral undertones."
Ethiopia Guji Bule Hora Blue Nile Natural,90,"Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,8,8,8,8,8,A natural-processed Ethiopia characterized by pleasing aromatic wood notes with support from ripe berry and crisp chocolate.
Beaverslide Rwanda/Ethiopia Blend,90,Rwanda; Ethiopia,Medium,8,8,8,8,8,A medium-dark roasted Rwanda/Ethiopia blend driven by notes of date and crisp chocolate with a hint of roastiness.
Guatemala ELLA Women-Owned Farms,93,Guatemala,Light,9,9,8,9,8,"A bright, balanced, women-farmed Guatemala cup driven by dark stone fruit, crisp chocolate, and deeply sweet hazelnut notes."
Ethiopia Banko Gotiti,93,"Gedeb District, Gedeo Zone, southern Ethiopia",Light,9,9,8,9,8,"A classic Ethiopia cup — juicy, brightly sweet, freshly floral, cocoa-toned — balanced and inviting."
Ethiopia Hambela Alaka,92,"Hambela Wamena, Guji Zone, Oromia Region, Ethiopia",Medium-Light,9,8,8,9,8,"A friendly washed-process Ethiopia cup with gently sweet notes of citrus and delicate flowers throughout, supported by rich aromatic wood notes."
Guatemala Bella Vista,91,"Antigua, Guatemala",Medium-Light,8,8,9,9,7,"A brightly sweet, tart Guatemala profile with ballast from rich nut and aromatic wood notes."
Guatemala Ayarza Natural,90,"Laguna de Ayarza, southeast Guatemala",Medium-Light,8,8,8,9,7,"A crisply nutty, richly wood-framed Guatemala natural cup."
Kenya Gichathaini,94,"Mathira West District, Nyeri growing region, Kenya",Light,9,9,9,9,8,"A complex, multi-layered Kenya cup with a trifecta of sweet, spice-toned and umami impulses."
Guatemala Retiro del Quisaya Natural Process,94,"San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium-Light,9,9,9,9,8,A fruit-forward natural-processed Guatemala cup complicated by resiny amber-like notes and a rich cocoa throughline.
Ethiopia Sidama Karamo Anaerobic Natural,94,"Sidamo growing region, south-central Ethiopia.",Medium-Light,9,9,9,9,8,"An unabashedly fruit-forward anaerobic natural Ethiopia with the tangy, yogurt-like aromatics and flavor that often result from anaerobic fermentation; dark berry fruit, cocoa nib and bittersweet florals round out the profile."
Colombia Geiner Montano,94,"Huila Department, Colombia",Medium-Light,9,9,9,9,8,"A classic washed Colombia cup with deep chocolate notes and especially vibrant, high-toned acidity."
Guatemala Retiro del Quisaya Washed Process,93,"San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium-Light,9,9,8,9,8,A balanced washed Guatemala cup with deeply sweet nut and rich caramel tones throughout
Papua New Guinea Kagamuga Natural,91,"Jikawa Province, Papua New Guinea",Medium-Light,9,8,8,9,7,An invitingly tart-leaning natural-processed Papua New Guinea with suggestions of bright citrus and crisp chocolate throughout.
Ka‘u Red Catuai Peaberry,94,"Ka‘u growing region, Big Island of Hawai’i",Medium-Light,9,9,9,9,8,"A subtly complex, quietly confident Ka‘ū cup with equal impulses toward cocoa and sweet citrus."
Ethiopia Kayon Mountain,94,"Odo Shakiso District, Guji Zone, southern Ethiopia",Light,9,9,9,9,8,"A heady, deep-toned cup with citrus, floral and cocoa impulses."
El Salvador El Mirador,93,"Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,9,8,9,9,8,"An inviting El Salvador Pacamara cup with tart fruit and caramel notes throughout, and an especially viscous mouthfeel."
Panama Finca Las Nubes Geisha Microlot,94,"Boquete growing region, Panama",Medium-Light,9,9,9,9,8,"Sweet dried fruit notes and rich dark chocolate, supported by deep florals, drive this natural Panama Geisha cup, an exceptional value for its variety and origin."
Kenya Gaturiri,93,"Kiambu County, Kenya",Medium-Light,9,9,8,9,8,A classic Kenya cup with vibrant acidity and particularly vivid expressions of the black currant and cocoa notes often associated with this origin.
Ethiopia Guji Odo Shakiso,93,"Guji Zone, Oromia Region, Southern Ethiopia",Light,9,8,9,9,8,"A natural-processed Ethiopia with an especially plush, inviting mouthfeel and distinct blueberry notes with crisp chocolate undertones."
Kenya Gaturiri AA,93,"Nyeri County, Kenya",Light,9,9,8,9,8,"A juicy, bright Kenya, multi-layered and rich-toned, with cocoa nib and berries as throughlines."
Kenya Muiri Estate Peaberry,92,"Kiambu County, Kenya",Medium-Light,9,8,8,9,8,An easygoing Kenya cup with classic notes of black currant supported by crisp cocoa and rich aromatic wood notes.
Glow Seasonal Reserve Blend,92,Ethiopia,Light,9,8,8,9,8,"This blend of two organic Ethiopia coffees offers a lively and original range of aroma and flavor, from baking spices to dried berries."
Tanzania Peaberry,92,Tanzania,Medium-Light,8,9,8,9,8,"Delicately crisp chocolate and sweet floral notes animate this inviting, subtly complex Tanzania."
Ethiopia Guji Kercha G2,92,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,9,8,8,9,8,"A friendly, engaging Ethiopia natural cup whose tart fruit impulses are balanced by crisp cocoa and sweet herb."
El Salvador Las Delicias Pacamara,92,"Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador",Medium-Light,8,9,8,9,8,"A bold Pacamara from El Salvador that will appeal to those who like rich, chocolaty coffees with tart fruit and spice undertones."
Ethiopia Dur Feres,91,"Guji Zone, Oromia Region, southern Ethiopia",Light,8,8,8,9,8,An invigoratingly tart-leaning natural Ethiopia with integrated and harmonious aromatic wood suggestions throughout.
Guatemala El Milagro Bourbon Especial,95,"Huehuetenango, Guatemala",Medium-Light,9,9,9,9,9,"An elegantly sweet, rich-toned Guatemala Bourbon — balanced, bright, juicy and deep."
Philippines Sitio Belis Garnica,93,"Atok Benguet, northern Philippines",Medium-Light,9,9,8,9,8,An inviting washed Philippines cup with depth from cocoa notes and lift from stone fruit and sweet herbs.
Colombia Sergio Roldan,93,"Urrao, Antioquia, Colombia",Medium-Light,9,8,9,9,8,"A crisp, fruit-centered natural Colombia with pleasing chocolate notes throughout the cup."
Philippines Sitio Kisbong Anaerobic Natural,92,"Atok Benguet, northern Philippines",Medium-Light,9,8,9,9,7,"A uniquely composed anaerobic-fermented Philippines with tangy, yogurt-like notes and attractive cocoa undertones."
Philippines Sitio Kisbong #3011 Experimental Wine Yeast,92,"Atok Benguet, northern Philippines",Medium-Light,8,8,9,9,8,"A gently fruity, experimentally processed Philippines coffee with crisp cocoa, dark berry and bright citrus notes."
Costa Rica William Mora,94,"Tarrazu growing region, Costa Rica",Light,9,9,9,9,8,"A focused, intensely fruit-forward Costa Rica natural driven by berry and dark chocolate notes."
Ethiopia Duromina Agaro Gera,94,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,9,9,9,9,8,"A high-toned, cocoa- and stone fruit-driven washed Ethiopia with a throughline of sweet citrus notes and undercurrents of woodsy herbs."
Winter 2022 Allocation Colombia,94,"Quindio Department, Colombia",Light,9,9,9,9,8,"A headily aromatic Colombia-grown Wush Wush processed by carbonic maceration, yielding a balanced, deeply fruity cup."
Guatemala Flor del Café,93,"Agua Dulce, Cuilco, Huehuetenango, Guatemala",Medium-Light,9,8,9,9,8,"A classic Guatemala cup with a full, viscous mouthfeel and deeply sweet nut tones throughout."
Laura’s Reserve SL34,96,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,9,9,9,10,9,"A Kona-Kenya mashup: This is an SL 34 variety grown in Kona that’s deep-toned and intricately balanced, with notes of stone fruit, cocoa nib and complex florals."
Panama ABU Washed Gesha Lot GW57,95,"Cañas Verdes, Boquete growing region, western Panama",Light,9,9,9,9,9,"A heady, floral Panama Gesha cup with top notes of vanilla and ginger supported by deep cocoa and gently spicy citrus zest."
Ethiopia 2022 COE#25 Natural Tadesse 74112,94,"Gedeo Zone, SNNPR, southern Ethiopia",Light,9,9,9,9,8,"A lively, enticing, deeply sweet and richly tart natural-processed Ethiopia with a dark chocolate throughline."
Ethiopia Washed Sidama Rumudamo,94,"Arbegona, Sidamo growing region, south-central Ethiopia",Light,9,9,9,9,8,"A nuanced, fruit-driven washed Ethiopia cup that’s deep, complex and juicy-sweet."
Colombia Finca Luisa Juan Pablo Carbonic Maceration,92,"Ciudad Bolivar, Antioquia, Colombia",Light,8,8,9,9,8,"A fruit-forward Colombia cup processed by carbonic maceration, with supporting notes of cocoa and rich aromatic wood."
Ethiopia Guji Gigesa,92,"Shakiso District, Guji Zone, Oromia Region, southern Ethiopia",Light,9,8,8,9,8,"A balanced, inviting washed Guji cup with leading notes of crisp chocolate and citrus."
Lemon Sugar Wash,95,"Sidamo growing region, south-central Ethiopia",Medium-Light,9,9,9,9,9,"A richly perfumed washed Sidamo cup whose heady aromatics translate to the cup: bright, balanced, juicy, attractive."
Kenya Kiambu AA,95,"Kiambu growing region, south-central Kenya",Medium-Light,9,9,9,9,9,A paradoxically bold and elegant Kenya cup — juicy and deep with umami underpinnings.
Morning Refresh,92,"Kiambu growing region, south-central Kenya",Light,9,8,8,9,8,A deep and inviting Kenya cup centered around bittersweet floral and rich cocoa tones.
Colombia Geisha Allium,94,"Valle de Cauca Department, Colombia",Light,9,9,9,9,8,"A vivacious Colombia Geisha cup produced by one of the global leaders in processing experimentation and innovation — juicy, engaging, satiating."
Bolivia Manantial Gesha,93,"Caranavi, Bolivia",Medium-Light,9,9,8,9,8,This washed Boliva Gesha has all the aromatics you’d expect from the variety and is from an under-the-radar origin worth seeking out — a value for its type.
Colombia Geisha Nariño Buenos Aires,93,"Nariño Department, southern Colombia",Medium-Light,9,9,8,9,8,"A delicate, confident Colombia Geisha cup with leading notes of fresh raspberry and rich almond with a cocoa nib throughline."
Honduras La Lesquiñada SOE,92,"Corquin, Honduras",Medium-Light,8,8,9,9,8,"A cleanly fruit-toned natural-process Honduras cup with chocolate, floral and aromatic wood notes."
Guatemala Hunapu,92,"Antigua, Guatemala",Medium-Light,9,8,8,9,8,"A crisply chocolaty, gently herbaceous, sweetly citrusy washed Guatemala cup."
Wilton Benitez Orange Bourbon,96,"Piendamó, Cauca Department, Colombia",Light,9,9,10,10,8,"An exceptionally vivid coffee, both aromatically and on the palate, with focused fruit and floral notes and an especially resounding, very lush mouthfeel."
Kayon Mountain Ethiopia,94,"Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,9,9,9,9,8,"An elegant, deeply aromatic washed Ethiopia cup with notes of tropical fruit, citrus and cocoa nib — complex and harmonious."
Colombia Pink Bourbon,93,"Sur de Huila, Huila Department, Colombia",Medium-Light,9,9,8,9,8,"An inviting floral-toned Colombia cup with sweet chocolate notes, rich nuttiness, and classic Colombia balance."
Nicaragua Kveik Farmhouse Coffee,90,"Matagalpa Department, Nicaragua",Medium-Light,8,8,8,8,8,"A uniquely composed anaerobic natural Nicaragua, with appealing tangy notes akin to yogurt, supported by sweet fruit and chocolate tones."
Kenya Teremuka AB,92,"Nakuru County, Kenya",Medium-Light,9,8,8,9,8,"Classic savory-tart currant notes, supported by almond and citrus zest, characterize this solid Kenya cup."
Ethiopia Yirgacheffe Aricha Washed G1,93,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,9,9,8,9,8,A vibrantly aromatic washed Yirgacheffe framed by citrus and cocoa nib with sweet herb undertones.
Kirinyaga Kii Factory AB Top,92,"Kirinyaga County, south-central Kenya",Medium-Light,9,8,8,9,8,"A quietly confident, deep-toned Kenya — crisply sweet and pleasingly complicated by bittersweet citrus zest."
Honduras Finca La Laguna,93,"Montecillos, Honduras",Medium-Light,9,8,9,9,8,"A deep, subtly complex washed-process Honduras cup with an especially full, viscous mouthfeel."
Chill Chill Blend,92,Ethiopia; Peru; Colombia; Honduras,Medium-Light,8,8,9,9,8,"A balanced, accessible blend with richly sweet nut tones and crisp, sweetly tart fruit notes."
Ethiopia Kochere Arefasa Washed G1,94,"Yirgacheffe growing region, southern Ethiopia",Light,9,9,9,9,8,"A delicate but aromatically focused, chocolate- and citrus-driven Ethiopia cup with very juicy-bright, balanced acidity."
Ecuador Finca Indera Geisha Honey,93,"Chaguarpamba, Loja Province, Ecuador",Medium-Light,9,9,8,9,8,"A comfortable, spice-driven Ecuador Geisha cup with lovely floral and stone fruit notes throughout."
Honduras Paraiso El Aguacate Edis Sanchez Parainema Washed 1300M Lot 296,93,"Guinope, Honduras",Medium-Light,9,9,8,9,8,"A complex, flavor-laden Honduras cup with notes of bright stone fruit and sweet florals."
Ethiopia Gedeb Chelchele Slow Dry Washed,93,"Gedeb District, Gedeo Zone, southern Ethiopia",Light,9,9,8,9,8,"A juicy-sweet, crisply chocolaty, multi-layered Ethiopia cup with spice-toned floral notes and resiny amber-like undertones."
Wild Strawberry Blend,92,Costa Rica; Colombia,Light,9,8,8,9,8,"An inviting, subtly complex fruit-driven blend supported by notes of baking chocolate and sweet herbs."
Colombia Granja Paraíso Java P14,95,"Cauca Department, Colombia",Light,9,9,9,9,9,An evocatively sweet Colombia Java with bright citrus and deep chocolate notes throughout; intricately complex and balanced.
El Salvador Finca El Retiro Sudan Rume Natural,94,"Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,9,9,9,9,8,"An umami-driven coffee that straddles the sweet and savory with a throughline of stone fruit and compelling earthy mushrooms, sustained and balanced by a richly complex structure."
Yellow Pacamara Carbonic Maceration Nanolot,92,"Matagalpa growing region, Nicaragua",Medium-Light,9,8,8,9,8,A carbonic-macerated Yellow Pacamara grown in Nicaragua that’s equal parts sweet (stone fruit and cocoa) and savory (hops and aromatic wood).
Fruit Candy Blend,92,Brazil; Guatemala; Tanzania; Ethiopia,Medium-Light,9,8,8,9,8,"A berry- and chocolate-toned blend — clean, delicately fruit-forward, richly sweet."
Dark Blend,90,Brazil; Guatemala; Colombia,Medium-Light,8,7,9,9,7,"A friendly, accessible cocoa-driven blend with sweet floral and citrus tones throughout the profile."
Ethiopia Hayissa Olocho Lot 6,94,"Sidamo growing region, Ethiopia",Light,9,9,9,9,8,"Elegant and powerful, this floral-toned natural-processed Ethiopia is complex and deep, with the flowers supported by sweet fruit and deep-toned cocoa."
Burundi,93,Burundi,Medium-Light,9,8,9,9,8,"A deep-toned, balanced, inviting Burundi — chocolaty and sweet, with undertones of magnolia and rich aromatic wood."
Burundi Kibingo,93,"Kayanza, Burundi",Medium-Light,9,9,8,9,8,"A juicy, citrus-driven Burundi hybrid natural with undertones of rich sandalwood and a hint of sweet ferment."
Pantan Musara,92,"Aceh Province, Sumatra, Indonesia",Medium-Light,9,8,9,9,7,"Given its essential sweet-savory structure, an especially bright Sumatra cup, citrusy and nimble, with a throughline of rich aromatic wood notes."
Nyeri Hill Kenya,94,"Nyeri growing region, south-central Kenya",Medium-Light,9,9,9,9,8,"A classic Kenya with notes of high-toned stone fruit, savory sweetness, citrus and rich aromatic wood."
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural,95,"Sidamo growing region, southern Ethiopia",Light,9,9,9,9,9,"A deep-toned, fruit- and floral-driven natural-processed Ethiopia cup with leading notes of stone fruit and spicy florals."
Chelbessa Ethiopia,94,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,9,9,9,9,8,"A pretty, delicately confident washed Ethiopia cup with berry and sweet herb tones in the foreground."
Monte Alban Mexico,93,"Yautepec, Miahuatlán, Oaxaca State, Mexico",Medium-Light,9,8,9,9,8,"A balanced, harmoniously integrated Mexico coffee with rich, deep aromas that fulfill their promise in the cup."
Colombia Nariño Lucido Diaz Pink Bourbon,93,"Nariño Department, southern Colombia",Medium-Light,9,9,8,9,8,"A balanced, harmonious Colombia Pink Bourbon with notes of stone fruit and almond as throughlines, supported by sweet florals."
Finca El Guarumal El Salvador Black Honey,93,El Salvador,Medium-Light,9,8,9,9,8,"A gently winy El Salvador cup, fruit-forward yet crisp and chocolaty."
Colombia Granja Paraiso Decaf,93,"Valle del Cauca Department, Colombia",Medium-Light,9,8,9,9,8,"An extraordinary decaf coffee — richly floral, crisply chocolaty, with high-toned stone fruit notes throughout."
Cafe Granja La Esperanza Natural,92,"Valle del Cauca Department, Colombia",Medium-Light,9,8,8,9,8,A crisply fruity natural-processed Colombia cup nicely complicated by a dry chocolate.
Ka’u Tropical Punch,94,"Ka'u growing region, Big Island of Hawai’i",Medium-Light,9,9,9,9,8,"A washed-process Ka'u coffee with the addition of wine yeasts to the ferment step. Delicate, confident, fruity and complex."
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process,94,"Bench-Maji Zone, Southern Ethiopia",Light,9,9,8,9,9,"A sophisticated, nuanced natural-processed Ethiopia Gesha centered around notes of dried stonefruit, cocoa nib and sweet herbs."
Ethiopia Gera Genji Challa,94,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,9,9,9,9,8,"A nuanced, multilayered washed Ethiopia cup with spicy floral notes at its center and a throughline of cocoa nib."
Kenya Gotomboya Peaberry,94,"Nyeri growing region, south-central Kenya",Medium-Light,9,9,8,9,9,"An evocative Kenya cup redolent of rich floral and sweet spice tones, with an especially resonant finish."
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,94,"Chiriqui Province, far western Panama",Medium-Light,9,9,9,9,8,"A complex natural-processed Panama cup redolent of stone fruit, sweet nut and musky florals, enlivened by a bright, vibrant acidity."
Kenya Ichamama,94,"Nyeri growing region, south-central Kenya",Medium-Light,9,9,9,9,8,A floral-driven Kenya cup supported by a brightly sweet-savory structure.
Ethiopia Guji Hamela Buku Abel Washed Process,93,"Guji growing region, south-central Ethiopia",Medium-Light,9,9,8,9,8,"A classic representation of the washed southern Ethiopia type, citrusy and floral with rich aromatics throughout."
Ethiopia Sidamo Assefa 74158 SLD Natural,93,"Sidamo growing region, south-central Ethiopia",Light,9,9,8,9,8,"A balanced, inviting natural-processed Ethiopia with leading notes of cocoa-toned fruit and spice-toned florals."
Ethiopia Uchoro Nansebo Washed,95,"Yirgacheffe growing region, southern Ethiopia",Light,9,9,9,9,9,"A classic washed Ethiopia cup that foregrounds stone fruit, complex flowers and seductive chocolate notes."
Nekisse Phantom Roasting,95,"Sidamo growing region, south-central Ethiopia",Light,9,9,9,9,9,"A beautifully structured, harmoniously integrated natural-processed Ethiopia cup — elegantly bright, fruity, floral, chocolaty."
Colombia Finca Samboni Gesha Anaerobic Natural,94,"Algeciras, Huila Department, Colombia",Medium-Light,9,9,9,9,8,"A cleanly fruit-forward Colombia Gesha cup processed by the anaerobic natural method, which highlights sweet fruit and spicy floral tones."
Kambera Inari Roasting,94,"Piedra Candela, Panama",Light,9,9,9,9,8,A strikingly structured anaerobic natural Panama cup that’s distinctly savory with sweet candy-like undertones.
Brazil Santos #2 Inari Roasting,93,"Sul de Minas, Cerrado Mineiro, Mogiana, and Matas de Minas growing regions, Brazil",Medium-Light,9,8,9,9,8,"A sweet, chocolate- and nut-toned natural-processed Brazil cup with an especially creamy body."
Brazil Santos #2 Amber-Based Multi-Roasting,92,"Sul de Minas, Cerrado Mineiro, Mogiana, and Matas de Minas growing regions, Brazil",Medium-Light,8,8,9,9,8,"A friendly, sweetly nutty natural-processed Brazil cup."
Colombia Don Correa Gesha,94,"San Jose, Caldas, Colombia",Light,9,9,9,9,8,"A deep, subtly invigorating carbonic-macerated Colombia Geisha cup with notes of tropical fruit and spicy flowers, complicated by a sweet herbaceousness."
Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02,94,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,9,9,9,9,8,"A classic washed Ethiopia cup profile: bright, cocoa-toned with balanced fruit, and richly floral."
Colombia El Vergel Guava Banana,93,"Tolima, Colombia",Medium-Light,9,8,9,9,8,An exceptionally fruit-forward cup (think tropical melange) with undertones of dark chocolate throughout.
Mexico Finca Santa Cruz COE#1b,94,"La Concordia, Chiapas State, Mexico",Light,9,9,9,9,8,A lovely natural-processed Mexico Geisha — berry- and cocoa-driven with pungent sandalwood undertones.
Costa Rica Canet Musician Beethoven Enzyme-Washed,93,"Tarrazu growing region, Costa Rica",Medium-Light,9,8,9,9,8,"An exceptionally sweet, innovatively processed Costa Rica cup with a floral throughline and notes of bittersweet citrus zest."
Guatemala Ovidio Ramirez,93,"Huehuetenango, Guatemala",Medium-Light,9,9,8,9,8,"A balanced, richly chocolaty, sweetly nutty washed-process Guatemala cup."
Wilton Benitez Geisha,95,"Piendamó, Cauca Department, Colombia",Medium-Light,9,9,9,9,9,"A nuanced, complex experimentally processed Colombia Geisha cup with rich notes of spicy florals, ripe berries and sweet herb."
Colombia Cerro Azul Geisha,95,"Trujillo, Valle del Cauca Department, Colombia",Light,9,9,9,9,9,"A trifecta of fruit, chocolate and flowers, both levitatingly sweet and structurally grounded."
Yirgacheffe Mengesha Natural,94,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,9,9,9,9,8,A fruit medley in a cup — think boysenberry and fresh pear — with a crisp cocoa throughline.
Colombia Tolima Finca El Mirador Washed Anaerobic,93,"Tolima, Colombia",Medium-Light,9,9,8,9,8,"An appealing washed anaerobic cup: deep-toned, nuanced, richly sweet."
Panama Geisha Finca Debra Symbiosis,94,"Volcan growing region, western Panama",Light,9,9,9,9,8,A floral- and fruit-driven anaerobic natural Panama Geisha cup with leading notes of dark chocolate and rich aromatic wood.
Panama Geisha Finca Debra Echo,94,"Volcan growing region, western Panama",Light,9,9,9,9,8,"A complex, multi-layered experimentally processed Geisha cup with focused fruit supported by crisp cocoa notes."
Panama Geisha Finca Debra Vivid,93,"Volcan growing region, western Panama",Light,9,8,9,9,8,"A balanced, richly sweet Panama Geisha cup, processed by a variation on the carbonic maceration method and leading with notes of stone fruit and sweet almond."
Ethiopia Hamasho Washed,95,"Bombe Mountains, Sidama Region, Ethiopia",Light,9,9,9,9,9,"An invitingly elegant washed Ethiopia cup, deftly balancing fruit, floral and cocoa tones — buoyantly juicy and complete."
Ethiopia Idido Anaerobic Natural,95,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,9,9,9,9,9,"A lyrically composed Ethiopia anaerobic cup with judicious fruit, spice-toned florals and richly vibrant cocoa and honey impulses."
Mexico Cup of Excellence #7,94,"Coatepec, Veracruz State, Mexico",Light,9,9,9,9,8,"A particularly fine Mexico Geisha: elegantly spice-toned, richly floral, deeply sweet and complex."
Costa Rica Las Lajas Red Honey,93,"Sabanilla de Alajuela, Alajuela Province, Costa Rica",Medium-Light,9,8,9,9,8,"This honey-processed Costa Rica shows a berry throughline with undertones of rich florals and a resiny, amber-like note that contributes depth and complexity."
Garden of Eden,93,"Quindio Department, Colombia",Medium-Light,9,9,8,9,8,An experimentally processed fruit-macerated Colombia cup with a vivid citrus throughline — also chocolaty and nut-toned with hints of spicy florals.
Colombia Finca Santa Maria Honey Tabi,93,"Santander Department, Colombia",Medium-Light,9,9,8,9,8,"A satisfying, richly chocolaty Colombia honey with notes of stone fruit, citrus zest, and sweet nut."
Mexico La Peña,91,"Siltepec, Chiapas State, Mexico",Medium-Light,9,8,8,9,7,"A friendly, accessible, brightly sweet Mexico cup with pleasing citrus and nut tones throughout."
